2025-07-08 06:08:55 status unpacked libsmartcols1:amd64 2.34-0.1ubuntu9
2025-07-08 06:08:55 install libss2:amd64 <none> 1.45.5-2ubuntu1
2025-07-08 06:08:55 status half-installed libss2:amd64 1.45.5-2ubuntu1
2025-07-08 06:08:55 status unpacked libss2:amd64 1.45.5-2ubuntu1
2025-07-08 06:08:55 install libsystemd0:amd64 <none> 245.4-4ubuntu3
2025-07-08 06:08:55 status half-installed libsystemd0:amd64 245.4-4ubuntu3
2025-07-08 06:08:55 status unpacked libsystemd0:amd64 245.4-4ubuntu3
2025-07-08 06:08:55 install libtinfo6:amd64 <none> 6.2-0ubuntu2
2025-07-08 06:08:55 status half-installed libtinfo6:amd64 6.2-0ubuntu2
2025-07-08 06:08:55 status unpacked libtinfo6:amd64 6.2-0ubuntu2
2025-07-08 06:08:55 install libudev1:amd64 <none> 245.4-4ubuntu3
2025-07-08 06:08:55 status half-installed libudev1:amd64 245.4-4ubuntu3
2025-07-08 06:08:55 status unpacked libudev1:amd64 245.4-4ubuntu3
2025-07-08 06:08:55 install libuuid1:amd64 <none> 2.34-0.1ubuntu9
2025-07-08 06:08:55 status half-installed libuuid1:amd64 2.34-0.1ubuntu9
2025-07-08 06:08:55 status unpacked libuuid1:amd64 2.34-0.1ubuntu9
2025-07-08 06:08:55 install libzstd1:amd64 <none> 1.4.4+dfsg-3
2025-07-08 06:08:55 status half-installed libzstd1:amd64 1.4.4+dfsg-3
2025-07-08 06:08:55 status unpacked libzstd1:amd64 1.4.4+dfsg-3
2025-07-08 06:08:55 install login:amd64 <none> 1:4.8.1-1ubuntu5
2025-07-08 06:08:55 status half-installed login:amd64 1:4.8.1-1ubuntu5
2025-07-08 06:08:55 status unpacked login:amd64 1:4.8.1-1ubuntu5
2025-07-08 06:08:55 install logsave:amd64 <none> 1.45.5-2ubuntu1
2025-07-08 06:08:55 status half-installed logsave:amd64 1.45.5-2ubuntu1
2025-07-08 06:08:55 status unpacked logsave:amd64 1.45.5-2ubuntu1
2025-07-08 06:08:55 install lsb-base:all <none> 11.1.0ubuntu2
2025-07-08 06:08:55 status half-installed lsb-base:all 11.1.0ubuntu2
2025-07-08 06:08:55 status unpacked lsb-base:all 11.1.0ubuntu2
2025-07-08 06:08:55 upgrade mawk:amd64 1.3.4.20200120-2 1.3.4.20200120-2
2025-07-08 06:08:55 status half-configured mawk:amd64 1.3.4.20200120-2
